epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,0.0799999982118606,1.4285590648651123,4.1235127449035645,7.681970119476318,50.97530364990234,7.399979114532471,48.52002716064453,9.528371810913086,0.0
1,0.0779971480369567,1.425953030586243,3.965113878250122,7.126534938812256,45.92347717285156,6.855937480926514,43.42887115478516,9.428417205810549,3.904066833376624e+23
2,0.0932789146900177,1.4411804676055908,3.928382396697998,6.660072326660156,41.75121307373047,6.393431186676025,39.27632141113281,9.328645706176758,7.322313226254165e+20
3,0.0991377457976341,1.4469664096832275,3.913865804672241,6.23984432220459,38.07633972167969,5.971908092498779,35.63218307495117,9.22920036315918,3.523303921346034e+21
4,0.1014424934983253,1.4491841793060305,3.907508850097656,5.863000869750977,34.82819366455078,5.591020107269287,32.37538528442383,9.130179405212402,2.349791720154046e+21
5,0.1023410260677337,1.4499832391738892,3.90428638458252,5.525847911834717,32.030147552490234,5.2496538162231445,29.533992767333984,9.031638145446776,3.382954713207525e+20
6,0.1026862636208534,1.4502180814743042,3.902225971221924,5.224634170532227,29.613826751708984,4.945759296417236,26.935014724731445,8.93360710144043,8.919434639571272e+19
7,0.1028170585632324,1.4502284526824951,3.9005515575408936,4.955790042877197,27.45591354370117,4.676562309265137,24.59727096557617,8.836102485656738,2.3829669300954096e+19
8,0.050775296986103,1.5844793319702148,3.659968852996826,4.6245832443237305,25.22760963439941,4.432499885559082,22.69397735595703,8.739131927490234,7910488647152064.0
9,0.0129312723875045,1.711704969406128,3.531780481338501,4.444395065307617,25.60780143737793,4.355949878692627,23.505809783935547,8.642802238464355,30.867768669128417
10,-0.0023156451061367,1.785975456237793,3.508735179901123,4.246678829193115,24.652942657470703,4.295671463012695,23.83597946166992,8.546157836914062,0.8569679856300354
