epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,-0.0799999982118606,0.7672744393348694,4.09959602355957,7.862790107727051,50.53790283203125,8.02546215057373,48.8389778137207,10.02438259124756,0.0
1,-0.0684084072709083,0.7358613014221191,4.072892665863037,7.777575016021728,50.1513557434082,7.987488746643066,48.45606231689453,9.986888885498049,18.215991687774657
2,-0.0509952045977115,0.7309632301330566,4.0354766845703125,7.721011638641357,49.852638244628906,7.978038311004639,48.41057586669922,9.957574844360352,6.742603993415832
3,-0.0373125486075878,0.7348358631134033,4.004409790039063,7.677384376525879,49.62276077270508,7.96823263168335,48.47314834594727,9.935906410217283,2.443193817138672
4,-0.0363529324531555,0.7407219409942627,3.973947525024414,7.64347505569458,49.415077209472656,7.967920780181885,48.50094604492188,9.921957015991213,1.0010384619235992
5,-0.04260715842247,0.7471023201942444,3.944844484329224,7.615979671478271,49.24291229248047,7.953063011169434,48.44684600830078,9.91103744506836,0.7953598856925964
6,-0.0448639653623104,0.7621179819107056,3.9157073497772217,7.588186264038086,49.08187103271485,7.950743675231934,48.44783401489258,9.895392417907717,0.7374055325984955
7,-0.0460103414952755,0.7741313576698303,3.894257545471192,7.570768356323242,48.98106384277344,7.936203479766846,48.38440704345703,9.885381698608398,0.7051699757575989
8,-0.0480074509978294,0.7879522442817688,3.8708362579345694,7.554579257965088,48.86563873291016,7.937758445739746,48.38325881958008,9.871607780456545,0.6910314857959747
9,-0.0330509096384048,0.8201377987861633,3.850408315658569,7.548553466796875,48.820556640625,7.930078506469727,48.31995391845703,9.857572555541992,0.6248551070690155
10,-0.0244411807507276,0.837177574634552,3.843039274215698,7.544715881347656,48.80054473876953,7.930608749389648,48.34243774414063,9.839218139648438,0.5498076736927032
