epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,-0.10000000149011612,0.345167338848114,2.8389787673950195,8.42065715789795,51.314796447753906,8.110344886779785,53.214447021484375,9.5006742477417,0
1,-0.08477306365966797,0.32932183146476746,2.6319844722747803,7.884490013122559,45.96769332885742,7.538010120391846,47.792564392089844,9.40071964263916,7.077579021691855e+25
2,-0.10174417495727539,0.3462851941585541,2.585184097290039,7.4317193031311035,41.89994812011719,7.06069278717041,43.42214584350586,9.300949096679688,2.0047389087595486e+27
3,-0.10825050622224808,0.35278090834617615,2.5671989917755127,7.017791271209717,38.423377990722656,6.628990650177002,39.540374755859375,9.201504707336426,1.3647460805376712e+28
4,-0.11080978065729141,0.35532718896865845,2.559833526611328,6.6370086669921875,35.44838333129883,6.239668369293213,36.1181640625,9.102484703063965,9.153089650845188e+27
5,-0.11180732399225235,0.35630980134010315,2.55660080909729,6.284914493560791,32.89562225341797,5.89003324508667,33.13658142089844,9.003946304321289,5.028293167992301e+27
6,-0.1121903583407402,0.35667622089385986,2.5549559593200684,5.958070755004883,30.591144561767578,5.577434062957764,30.379417419433594,8.905922889709473,2.9624831840834267e+27
7,-0.1123351901769638,0.35680288076400757,2.553893804550171,5.65374231338501,28.581689834594727,5.299159049987793,27.916488647460938,8.808426856994629,9.420983553241086e+26
8,-0.1123836413025856,0.35683366656303406,2.5531113147735596,5.397536277770996,26.936100006103516,5.075867652893066,25.905305862426758,8.721150398254395,4.165630841806304e+26
9,-0.11240117251873016,0.3568323850631714,2.552367925643921,5.156449794769287,25.44965362548828,4.87553071975708,24.106416702270508,8.634308815002441,1.8693586505675483e+26
10,-0.11240711808204651,0.35681840777397156,2.551614761352539,4.929076671600342,24.08315658569336,4.695478439331055,22.480754852294922,8.54788875579834,9.294331657556022e+25
