T,Train Accuracy,Test Accuracy
100,0.206,0.136
200,0.203,0.169
300,0.208,0.146
400,0.213,0.154
500,0.218,0.15
600,0.22,0.157
700,0.218,0.13
800,0.205,0.185
900,0.203,0.178
1000,0.214,0.157
