T,Train Accuracy,Test Accuracy
100,0.208,0.155
200,0.207,0.153
300,0.195,0.153
400,0.199,0.171
500,0.223,0.142
600,0.187,0.152
700,0.225,0.139
800,0.171,0.151
900,0.209,0.171
1000,0.214,0.136
