T,Train Accuracy,Test Accuracy
100,0.242,0.191
200,0.208,0.182
300,0.176,0.13
400,0.2,0.187
500,0.212,0.16
600,0.192,0.167
700,0.215,0.156
800,0.209,0.157
900,0.219,0.171
1000,0.236,0.146
