T,Train Accuracy,Test Accuracy
100,0.211,0.136
200,0.215,0.152
300,0.203,0.153
400,0.21,0.16
500,0.212,0.143
600,0.203,0.164
700,0.214,0.151
800,0.205,0.175
900,0.228,0.164
1000,0.213,0.158
