T,Train Accuracy,Test Accuracy
100,0.21,0.171
200,0.22,0.163
300,0.208,0.162
400,0.198,0.159
500,0.212,0.169
600,0.204,0.179
700,0.206,0.158
800,0.197,0.165
900,0.216,0.163
1000,0.232,0.152
