epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.10000000149011612,0.345167338848114,2.8389787673950195,8.42065715789795,51.314796447753906,8.110344886779785,53.21445083618164,9.5006742477417,5.019852638244629,0
1,0.14982526004314423,0.39498960971832275,2.7720611095428467,7.655822277069092,43.94964599609375,7.344638824462891,45.908287048339844,9.340825080871582,4.941221714019775,2.988533576724644e+17
2,0.04952193424105644,0.5357889533042908,2.760953187942505,7.063661575317383,39.11784744262695,6.80800199508667,41.28630828857422,9.181580543518066,5.042550563812256,2.154802748112642e+16
3,0.08519589155912399,0.6383315920829773,2.847262144088745,6.775211334228516,38.115962982177734,6.783697128295898,42.08607482910156,9.125123977661133,4.974128246307373,21.939425840973854
4,0.0316600427031517,0.691496729850769,2.9378247261047363,6.582217693328857,37.454227447509766,6.721865653991699,41.63885498046875,9.072765350341797,4.965125560760498,3.088420107960701
5,-0.015076963230967522,0.7359170913696289,3.0110836029052734,6.4120192527771,36.460994720458984,6.684863567352295,40.94206619262695,9.112653732299805,4.968811988830566,2.4823504388332367
6,-0.01168725173920393,0.761490523815155,3.0679471492767334,6.3440842628479,36.08934783935547,6.673042297363281,40.86051940917969,9.078347206115723,5.038261890411377,2.363757237792015
7,-0.011126690544188023,0.7779353857040405,3.0956668853759766,6.327240467071533,35.91082763671875,6.663384914398193,40.82756805419922,9.057984352111816,5.0917067527771,2.3238957226276398
8,0.0011475184001028538,0.7901948094367981,3.114356756210327,6.308565616607666,35.61829376220703,6.659638404846191,40.744850158691406,8.980867385864258,5.081483840942383,2.2993909120559692
9,0.00949212908744812,0.7999522686004639,3.131643056869507,6.2926716804504395,35.530113220214844,6.656185150146484,40.86962127685547,8.969971656799316,5.086043834686279,2.300429955124855
10,-0.0004802928597200662,0.8103744983673096,3.1538922786712646,6.275916576385498,35.41490173339844,6.659474849700928,40.70774841308594,8.902013778686523,5.115436553955078,2.3025004267692566
