epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.10000000149011612,0.345167338848114,2.8389787673950195,8.42065715789795,51.314796447753906,8.110344886779785,53.21445083618164,9.5006742477417,5.019852638244629,0
1,0.02245531603693962,0.42635366320610046,2.6395857334136963,7.64738130569458,43.99992370605469,7.357934474945068,46.21137237548828,9.340824127197266,5.007706642150879,4.173572674131558e+20
2,-0.022047970443964005,0.5304449796676636,2.612826347351074,7.418234825134277,42.858802795410156,7.304239749908447,46.17256164550781,9.260202407836914,4.990684509277344,83.21834075450897
3,-0.03796239197254181,0.6122938394546509,2.681976795196533,7.176135063171387,41.370208740234375,7.2183380126953125,45.605072021484375,9.264357566833496,5.032851696014404,3.4543760120868683
4,-0.043897710740566254,0.6898171305656433,2.769454002380371,7.015320301055908,40.704044342041016,7.16978120803833,45.239402770996094,9.220232963562012,5.020896911621094,2.460111752152443
5,-0.04410577192902565,0.738555908203125,2.812861680984497,6.941204071044922,40.40569305419922,7.154562473297119,44.95241928100586,9.235563278198242,5.0808281898498535,2.359317436814308
6,-0.059182748198509216,0.7722055912017822,2.8421690464019775,6.892946243286133,40.00179672241211,7.154040813446045,44.91911315917969,9.194811820983887,5.135079860687256,2.3364134579896927
7,-0.0730600506067276,0.8074283003807068,2.86446213722229,6.860321521759033,39.767269134521484,7.145084381103516,44.821144104003906,9.186580657958984,5.126600742340088,2.350626215338707
8,-0.07195302844047546,0.8186930418014526,2.8658649921417236,6.826844215393066,39.45415496826172,7.144160747528076,44.76829147338867,9.185980796813965,5.1197428703308105,2.2976532876491547
9,-0.06434524059295654,0.8507933616638184,2.894874095916748,6.7915849685668945,39.194210052490234,7.139224529266357,44.74447250366211,9.200766563415527,5.10324239730835,2.300926372408867
10,-0.07042917609214783,0.8679431080818176,2.915018081665039,6.766808032989502,38.978759765625,7.146850109100342,44.75615692138672,9.197657585144043,5.099056243896484,2.2850627452135086
