epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.019999999552965164,0.24172702431678772,4.807117938995361,7.028104305267334,45.18974304199219,6.797696590423584,41.79007339477539,9.757349014282227,6.2230048179626465,0
1,-0.014198563061654568,0.3570145070552826,4.6443610191345215,6.63101863861084,41.52187728881836,6.456137180328369,39.28582763671875,9.596288681030273,6.196866512298584,63045729.172162294
2,-0.03779792785644531,0.4653265178203583,4.536993026733398,6.5133514404296875,40.6700553894043,6.400058269500732,40.09019470214844,9.450263023376465,6.1671929359436035,8.176322117447853
3,-0.05836006999015808,0.5630255937576294,4.48961067199707,6.418896675109863,40.04426574707031,6.380059719085693,40.465187072753906,9.332520484924316,6.095192909240723,2.8660861402750015
4,-0.06983085721731186,0.6184614300727844,4.475503921508789,6.3636794090271,39.54066848754883,6.385366439819336,40.60693359375,9.24434757232666,6.0461626052856445,2.556739002466202
5,-0.06838186830282211,0.6580079197883606,4.451183319091797,6.311591148376465,38.936546325683594,6.370222568511963,40.206199645996094,9.142093658447266,6.024249076843262,2.391039162874222
6,-0.07896193116903305,0.6960664391517639,4.446166515350342,6.274395942687988,38.67285919189453,6.3669843673706055,40.28875732421875,9.034379005432129,6.006145000457764,2.333405986428261
7,-0.07203782349824905,0.7061982154846191,4.442416667938232,6.254726886749268,38.58467102050781,6.360213279724121,40.269309997558594,8.923274993896484,5.994546413421631,2.3193099051713943
8,-0.08052390813827515,0.7080509066581726,4.443256378173828,6.2494330406188965,38.585670471191406,6.358339786529541,40.19993591308594,8.830299377441406,5.995193958282471,2.2745451182127
9,-0.08292646706104279,0.7043592929840088,4.436553001403809,6.235683441162109,38.53404235839844,6.356640815734863,40.21970748901367,8.756308555603027,5.992784023284912,2.2892559617757797
10,-0.0824519544839859,0.7208200693130493,4.432206153869629,6.222832202911377,38.4148063659668,6.350919723510742,40.218997955322266,8.669698715209961,5.989645004272461,2.2765517830848694
