epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,-0.05999999865889549,0.5889450907707214,3.9957587718963623,8.131318092346191,51.841796875,7.852179050445557,50.62569046020508,9.74625015258789,5.661615371704102,0
1,-0.08471503108739853,0.5060955286026001,3.9787228107452393,8.169090270996094,51.5714225769043,7.818782806396484,50.466156005859375,9.58637523651123,5.5600996017456055,429.2192406654358
2,-0.13809122145175934,0.47074833512306213,3.9575881958007812,8.007242202758789,50.18785858154297,7.619690895080566,49.12498474121094,9.424986839294434,5.549167633056641,38.5192466378212
3,-0.15809735655784607,0.47619864344596863,3.9127957820892334,7.909708023071289,49.77092361450195,7.490927696228027,48.256011962890625,9.26488208770752,5.543721675872803,10.252931743860245
4,-0.1619427502155304,0.48926588892936707,3.8914599418640137,7.858314037322998,49.53263854980469,7.434618949890137,47.998687744140625,9.111021041870117,5.539086818695068,4.612067744135857
5,-0.17285554111003876,0.5086280107498169,3.887421131134033,7.837376594543457,49.45259094238281,7.41106653213501,47.87096405029297,8.958930969238281,5.533233165740967,3.2090538889169693
6,-0.16415417194366455,0.5161755681037903,3.889516830444336,7.827568054199219,49.367332458496094,7.395968437194824,47.81031799316406,8.807758331298828,5.548811435699463,2.9717938750982285
7,-0.15963831543922424,0.4969339966773987,3.883415460586548,7.819948673248291,49.30051040649414,7.3803558349609375,47.77336883544922,8.657485008239746,5.5526556968688965,3.0094943046569824
8,-0.16832759976387024,0.4779585599899292,3.880502700805664,7.812366008758545,49.232757568359375,7.366161823272705,47.744468688964844,8.50820541381836,5.550808906555176,2.8946083933115005
9,-0.16411180794239044,0.46452492475509644,3.876753330230713,7.807862758636475,49.21074676513672,7.353287696838379,47.686279296875,8.359997749328613,5.54793643951416,2.570720002055168
10,-0.12938585877418518,0.44197672605514526,3.8765270709991455,7.803338050842285,49.14432907104492,7.331557750701904,47.58221435546875,8.212924003601074,5.572120666503906,2.568331867456436
