epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,0.0,1.4285588264465332,4.1235127449035645,7.681970119476318,50.975303649902344,7.399979114532471,48.52002716064453,9.60837173461914,0
1,-0.046012796461582184,1.557640790939331,4.039519786834717,7.454232692718506,50.21161651611328,7.194652080535889,47.16941833496094,9.448005676269531,156006.64932227135
2,-0.025613076984882355,1.6433342695236206,4.018043518066406,7.326692581176758,49.50568771362305,7.1097588539123535,46.6534423828125,9.330540657043457,8.064645320177078
3,-0.0477309376001358,1.6741430759429932,3.995802164077759,7.278041362762451,49.232669830322266,7.111741065979004,46.49634552001953,9.250449180603027,3.098115175962448
4,-0.05919717997312546,1.7047476768493652,3.975389242172241,7.254995346069336,49.158111572265625,7.131822109222412,46.845455169677734,9.307543754577637,2.6044398099184036
5,-0.06316930055618286,1.7572977542877197,3.9542369842529297,7.232919692993164,49.0500373840332,7.133798122406006,46.83997344970703,9.416080474853516,2.641093358397484
6,-0.06647387146949768,1.806903600692749,3.9227473735809326,7.207825660705566,48.767574310302734,7.137018203735352,47.05052947998047,9.482843399047852,2.5326934456825256
7,-0.06780076026916504,1.8653393983840942,3.8952581882476807,7.193078994750977,48.61841583251953,7.152714252471924,47.147377014160156,9.497060775756836,2.407757893204689
8,-0.07091742008924484,1.9132704734802246,3.8842666149139404,7.177212238311768,48.537261962890625,7.164164066314697,47.317893981933594,9.485352516174316,2.3973554372787476
9,-0.07014621049165726,1.9892449378967285,3.8794312477111816,7.164042949676514,48.42646026611328,7.173494815826416,47.3575553894043,9.494956016540527,2.356918454170227
10,-0.08547862619161606,2.0657289028167725,3.8614790439605713,7.155099868774414,48.37123107910156,7.164361953735352,47.32896423339844,9.474475860595703,2.365627244114876
11,-0.11948606371879578,2.0755844116210938,3.8387863636016846,7.1409783363342285,48.26369857788086,7.169836044311523,47.37318801879883,9.440539360046387,2.3246376663446426
12,-0.12557834386825562,2.0913400650024414,3.8176732063293457,7.135668754577637,48.156776428222656,7.171679496765137,47.407081604003906,9.429352760314941,2.323844611644745
13,-0.12416989356279373,2.126166343688965,3.811269760131836,7.128376483917236,48.12064743041992,7.174016952514648,47.35900115966797,9.402770042419434,2.2793115079402924
14,-0.13138511776924133,2.1353259086608887,3.8025052547454834,7.126136779785156,48.04325866699219,7.172191143035889,47.43988800048828,9.39223575592041,2.2700277268886566
15,-0.12984205782413483,2.1461689472198486,3.7962987422943115,7.125533580780029,48.03510665893555,7.172774314880371,47.431549072265625,9.367185592651367,2.259949952363968
16,-0.12425532937049866,2.1429998874664307,3.7957844734191895,7.122003078460693,47.957427978515625,7.167110443115234,47.40449523925781,9.362394332885742,2.2497422248125076
17,-0.12163591384887695,2.132490634918213,3.791792631149292,7.118918418884277,47.933570861816406,7.170325756072998,47.405723571777344,9.385933876037598,2.2595721632242203
18,-0.13492785394191742,2.135077714920044,3.78652024269104,7.115499019622803,47.853797912597656,7.163266181945801,47.40233612060547,9.405379295349121,2.2705829441547394
19,-0.12720125913619995,2.1322460174560547,3.7784271240234375,7.104385852813721,47.7573127746582,7.162716865539551,47.3498649597168,9.429790496826172,2.256421372294426
20,-0.13083671033382416,2.124436616897583,3.7683656215667725,7.104095458984375,47.78512191772461,7.171823978424072,47.487266540527344,9.419273376464844,2.263358026742935
21,-0.13039633631706238,2.1364028453826904,3.7671146392822266,7.101491928100586,47.789833068847656,7.169949054718018,47.480857849121094,9.44567584991455,2.267612263560295
22,-0.1317826509475708,2.117189407348633,3.763303518295288,7.103137493133545,47.78443145751953,7.165750026702881,47.445701599121094,9.449498176574707,2.2494631111621857
23,-0.13296334445476532,2.1200711727142334,3.7627367973327637,7.099653244018555,47.72257995605469,7.163757801055908,47.40220642089844,9.45113468170166,2.2353634536266327
24,-0.13248473405838013,2.10717511177063,3.754757881164551,7.098828315734863,47.75457000732422,7.166390419006348,47.44683074951172,9.420731544494629,2.2285154163837433
25,-0.1389167159795761,2.0979490280151367,3.7594993114471436,7.099304676055908,47.74174499511719,7.162474155426025,47.469810485839844,9.416254043579102,2.236274629831314
26,-0.14761479198932648,2.094301223754883,3.75624680519104,7.095651626586914,47.657867431640625,7.164255619049072,47.419227600097656,9.41926097869873,2.2393322587013245
27,-0.1514136642217636,2.0860373973846436,3.7603724002838135,7.090435028076172,47.616859436035156,7.163886547088623,47.45394515991211,9.382649421691895,2.2164221554994583
28,-0.14837247133255005,2.084151029586792,3.7705752849578857,7.0866546630859375,47.587890625,7.16727876663208,47.48592758178711,9.354650497436523,2.211557984352112
29,-0.15072879195213318,2.0769739151000977,3.7688605785369873,7.083491325378418,47.479278564453125,7.166379451751709,47.50129699707031,9.355076789855957,2.2174817472696304
30,-0.15138977766036987,2.078519344329834,3.775444746017456,7.089604377746582,47.509918212890625,7.157947540283203,47.43119812011719,9.350665092468262,2.214463546872139
31,-0.14962507784366608,2.0741870403289795,3.767348289489746,7.081965923309326,47.47076416015625,7.1622395515441895,47.49869918823242,9.31984806060791,2.208805173635483
32,-0.1382872760295868,2.0615994930267334,3.773548126220703,7.079201698303223,47.44281005859375,7.162686347961426,47.500274658203125,9.290148735046387,2.201851412653923
33,-0.141241192817688,2.0652990341186523,3.771949052810669,7.077941417694092,47.42462158203125,7.155806541442871,47.42830276489258,9.238520622253418,2.197624534368515
