epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,0.0,0.0463089644908905,3.9846529960632324,7.703613758087158,50.251853942871094,8.225735664367676,52.30720138549805,9.957937240600586,0
1,-0.02128949947655201,0.18656319379806519,3.8871865272521973,7.415720462799072,47.688453674316406,7.9596662521362305,50.33854675292969,9.802550315856934,567090.8509092331
2,-0.04615085572004318,0.2932687997817993,3.8775200843811035,7.369608402252197,47.31504821777344,7.909146308898926,50.17229461669922,9.674663543701172,25.76074069738388
3,-0.06357493996620178,0.4163830876350403,3.838823080062866,7.337912559509277,47.12303161621094,7.874336242675781,50.01040267944336,9.54389476776123,7.860241085290909
4,-0.08289647102355957,0.5055868625640869,3.8289122581481934,7.315924167633057,47.0021858215332,7.84694766998291,49.966190338134766,9.522287368774414,3.582993671298027
5,-0.09114568680524826,0.5569424629211426,3.8621606826782227,7.302099704742432,46.95307922363281,7.824769020080566,49.94831848144531,9.51085090637207,2.8635724782943726
6,-0.09983278065919876,0.5861067175865173,3.902038335800171,7.285478115081787,46.85626220703125,7.81833553314209,49.93827819824219,9.488948822021484,2.5687470734119415
7,-0.07694915682077408,0.6380177140235901,3.9386143684387207,7.278926849365234,46.84922790527344,7.8064351081848145,49.87788391113281,9.4755859375,2.3686084300279617
8,-0.12451475113630295,0.656873345375061,3.954780340194702,7.273773670196533,46.862648010253906,7.8043036460876465,49.85247802734375,9.512043952941895,2.394159123301506
9,-0.11099023371934891,0.6640334129333496,3.93806529045105,7.269262790679932,46.849449157714844,7.8025336265563965,49.80248260498047,9.545358657836914,2.381188064813614
10,-0.11350655555725098,0.7063242793083191,3.962475061416626,7.261283874511719,46.83744812011719,7.8087029457092285,49.78466796875,9.553129196166992,2.351119875907898
11,-0.11491359025239944,0.7278014421463013,3.9600088596343994,7.2602057456970215,46.81278991699219,7.814008712768555,49.77730941772461,9.554085731506348,2.386383280158043
12,-0.1371135413646698,0.7436724901199341,3.924755334854126,7.256505012512207,46.82701873779297,7.820857048034668,49.80086898803711,9.583322525024414,2.3074923902750015
13,-0.12563906610012054,0.770244300365448,3.906071901321411,7.248850345611572,46.79957580566406,7.824303150177002,49.787322998046875,9.596217155456543,2.294654041528702
14,-0.12824347615242004,0.7597905993461609,3.907120943069458,7.244809150695801,46.79494094848633,7.830673694610596,49.842491149902344,9.61292552947998,2.2945254892110825
15,-0.1283516138792038,0.7480223178863525,3.9029810428619385,7.242498397827148,46.85685729980469,7.838873386383057,49.90013122558594,9.612942695617676,2.2713094502687454
16,-0.12943188846111298,0.7504684925079346,3.9106595516204834,7.23883581161499,46.793724060058594,7.843517780303955,49.90514373779297,9.620805740356445,2.2639800161123276
17,-0.13009054958820343,0.7500565648078918,3.907912015914917,7.236288547515869,46.80421829223633,7.860453128814697,49.997093200683594,9.61925983428955,2.2576934844255447
18,-0.12755882740020752,0.7396298050880432,3.8946938514709473,7.237174034118652,46.76663589477539,7.853119373321533,49.94950866699219,9.598588943481445,2.2600720077753067
19,-0.11921562254428864,0.7271206974983215,3.8791849613189697,7.238365173339844,46.76911926269531,7.854487419128418,49.95697784423828,9.592132568359375,2.2401472330093384
20,-0.1288556456565857,0.7209846377372742,3.8936285972595215,7.234833240509033,46.784942626953125,7.848872661590576,49.914676666259766,9.599074363708496,2.236913710832596
21,-0.1385956108570099,0.7148406505584717,3.879387140274048,7.233593940734863,46.810028076171875,7.840710639953613,49.86619567871094,9.59024715423584,2.2432336509227753
22,-0.1457434743642807,0.7323507070541382,3.876304864883423,7.231635093688965,46.796173095703125,7.840731143951416,49.86042404174805,9.571455001831055,2.2425117790699005
23,-0.1526777148246765,0.7415469288825989,3.889989137649536,7.23012638092041,46.7320556640625,7.840417861938477,49.842987060546875,9.567244529724121,2.2447786778211594
24,-0.15802766382694244,0.7246575355529785,3.8533434867858887,7.23575496673584,46.813011169433594,7.82572603225708,49.7949104309082,9.570019721984863,2.2435119599103928
25,-0.1493166834115982,0.7321305871009827,3.8663785457611084,7.233071327209473,46.78697967529297,7.8147735595703125,49.71299362182617,9.570013999938965,2.242649555206299
26,-0.14144887030124664,0.7309183478355408,3.871689796447754,7.229323387145996,46.78357696533203,7.814630031585693,49.69721221923828,9.569859504699707,2.232042759656906
27,-0.13953155279159546,0.7075346112251282,3.8330492973327637,7.233306884765625,46.75569152832031,7.817037582397461,49.71628189086914,9.567631721496582,2.236598417162895
28,-0.1457943320274353,0.7089110016822815,3.805546998977661,7.232455730438232,46.773109436035156,7.819273471832275,49.72251892089844,9.562600135803223,2.2340778559446335
29,-0.14978823065757751,0.716210663318634,3.8198208808898926,7.2302069664001465,46.78886032104492,7.81019926071167,49.666893005371094,9.560036659240723,2.2232388705015182
30,-0.15529903769493103,0.7163267731666565,3.8360700607299805,7.229312896728516,46.753196716308594,7.802505970001221,49.63701629638672,9.554057121276855,2.2236054092645645
31,-0.15356573462486267,0.7058029174804688,3.824244260787964,7.227323055267334,46.771705627441406,7.799148082733154,49.62551498413086,9.556913375854492,2.2193308919668198
32,-0.1497577577829361,0.70862877368927,3.8228919506073,7.227639675140381,46.765281677246094,7.801370620727539,49.61774444580078,9.545814514160156,2.235662266612053
33,-0.1426078826189041,0.7127496004104614,3.8267369270324707,7.226238250732422,46.763580322265625,7.801284313201904,49.622066497802734,9.564399719238281,2.231596529483795
34,-0.13891315460205078,0.7132372856140137,3.8328189849853516,7.223423480987549,46.736846923828125,7.7885847091674805,49.553340911865234,9.565199851989746,2.2221634835004807
35,-0.1357978731393814,0.7171069979667664,3.8318731784820557,7.221068382263184,46.728084564208984,7.792527675628662,49.578704833984375,9.563108444213867,2.2129700630903244
36,-0.1391473412513733,0.7053490281105042,3.8324828147888184,7.221263885498047,46.729305267333984,7.78824520111084,49.554901123046875,9.552736282348633,2.210630312561989
37,-0.1385633796453476,0.7002785205841064,3.823603391647339,7.220062732696533,46.736961364746094,7.78685188293457,49.53738021850586,9.54949951171875,2.212121397256851
38,-0.13556881248950958,0.6979417204856873,3.818195104598999,7.221882343292236,46.696693420410156,7.786726951599121,49.53721618652344,9.543943405151367,2.215664654970169
39,-0.13196267187595367,0.6894588470458984,3.80342173576355,7.221806526184082,46.7760124206543,7.782987594604492,49.520057678222656,9.540925979614258,2.2159374058246613
40,-0.13342416286468506,0.6987574100494385,3.810945749282837,7.22424840927124,46.73712921142578,7.781637191772461,49.50959014892578,9.524526596069336,2.2103908360004425
41,-0.13000577688217163,0.6975013613700867,3.8046374320983887,7.224011421203613,46.799903869628906,7.785517692565918,49.53772735595703,9.5212984085083,2.2165274173021317
42,-0.14273521304130554,0.685063362121582,3.7947237491607666,7.225569725036621,46.778961181640625,7.785649299621582,49.51829528808594,9.521763801574707,2.2189755588769913
43,-0.14144177734851837,0.676902174949646,3.8127455711364746,7.220634937286377,46.75526428222656,7.774405479431152,49.46228790283203,9.5179443359375,2.200212985277176
44,-0.13850697875022888,0.6833846569061279,3.8139102458953857,7.221005439758301,46.73200988769531,7.77365779876709,49.459632873535156,9.502341270446777,2.210513710975647
45,-0.14329184591770172,0.6991719603538513,3.8118503093719482,7.22075080871582,46.74802780151367,7.7774977684021,49.469024658203125,9.504498481750488,2.2033553272485733
46,-0.14188817143440247,0.690733790397644,3.8018922805786133,7.220667839050293,46.73246765136719,7.77562141418457,49.46055603027344,9.503336906433105,2.2002643644809723
47,-0.13668498396873474,0.6752483248710632,3.8186402320861816,7.218794822692871,46.738258361816406,7.767786026000977,49.40870666503906,9.499593734741211,2.1986664682626724
48,-0.14805874228477478,0.6721033453941345,3.8125252723693848,7.220876693725586,46.73781967163086,7.76702356338501,49.403350830078125,9.489530563354492,2.1930797547101974
49,-0.15312232077121735,0.6727668046951294,3.8130390644073486,7.221391201019287,46.70598220825195,7.762950420379639,49.38023376464844,9.484054565429688,2.1874116957187653
50,-0.14611290395259857,0.6716535687446594,3.8092682361602783,7.221848964691162,46.74115753173828,7.765615940093994,49.40371322631836,9.482913970947266,2.1904358863830566
