T,Train Accuracy,Test Accuracy
25,0.932,0.878
50,0.958,0.847
75,0.958,0.889
100,0.952,0.855
125,0.965,0.902
150,0.967,0.879
175,0.983,0.874
200,0.977,0.866
225,0.976,0.853
250,0.992,0.869
275,0.982,0.876
300,0.977,0.868
325,0.975,0.875
350,0.964,0.888
375,0.981,0.906
400,0.989,0.892
