T,Train Accuracy,Test Accuracy
25,0.941,0.862
50,0.929,0.92
75,0.961,0.897
100,0.955,0.856
125,0.974,0.892
150,0.953,0.915
175,0.968,0.864
200,0.973,0.877
225,0.979,0.879
250,0.971,0.846
275,0.975,0.88
300,0.992,0.883
325,0.984,0.866
350,0.981,0.886
375,0.986,0.866
400,0.971,0.892
