T,Train Accuracy,Test Accuracy
25,0.924,0.839
50,0.962,0.883
75,0.963,0.909
100,0.966,0.878
125,0.959,0.908
150,0.974,0.899
175,0.948,0.894
200,0.954,0.899
225,0.979,0.871
250,0.952,0.914
275,0.976,0.869
300,0.988,0.869
325,0.97,0.842
350,0.974,0.854
375,0.98,0.886
400,0.979,0.869
