T,Train Accuracy,Test Accuracy
25,0.936,0.853
50,0.955,0.871
75,0.959,0.883
100,0.967,0.883
125,0.972,0.865
150,0.961,0.868
175,0.974,0.866
200,0.971,0.914
225,0.969,0.884
250,0.981,0.852
275,0.982,0.873
300,0.972,0.9
325,0.976,0.866
350,0.972,0.873
375,0.979,0.864
400,0.979,0.865
