epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,-0.10000000149011612,0.345167338848114,1.7101954221725464,2.9684553146362305,10.530745506286621,4.263136863708496,12.39979362487793,9.700675010681152,2.7442679405212402,0
1,-0.09568426012992859,0.4032064974308014,1.6190779209136963,2.7865819931030273,10.130433082580566,4.101817607879639,11.708864212036133,9.540815353393555,2.7212109565734863,2.9540492817759514
2,-0.1092395931482315,0.3993407189846039,1.6106632947921753,2.735226631164551,10.024529457092285,3.989699602127075,11.613511085510254,9.381630897521973,2.70524525642395,0.6088112201541662
3,-0.09906736016273499,0.44234204292297363,1.5720902681350708,2.6986188888549805,9.961780548095703,3.9138145446777344,11.478413581848145,9.223529815673828,2.6931393146514893,0.5617974456399679
4,-0.0754002034664154,0.5793639421463013,1.4903833866119385,2.6706082820892334,10.012166976928711,3.812594175338745,11.203622817993164,9.066696166992188,2.6691629886627197,0.4372851029038429
5,-0.03721195086836815,0.7707507014274597,1.400314211845398,2.659806728363037,10.025754928588867,3.7488911151885986,11.232938766479492,8.911230087280273,2.6408963203430176,0.25633977726101875
6,-0.009213201701641083,0.9689131379127502,1.3466376066207886,2.648136615753174,9.994815826416016,3.6947524547576904,11.223388671875,8.757285118103027,2.6131439208984375,0.17744445288553834
7,-0.006626494228839874,1.0773911476135254,1.3383378982543945,2.6581830978393555,10.006479263305664,3.6588680744171143,11.210972785949707,8.60604476928711,2.596346378326416,0.13630823465064168
8,-0.012599869631230831,1.1232341527938843,1.3414170742034912,2.6794869899749756,10.03492259979248,3.643876552581787,11.20955753326416,8.458056449890137,2.587355613708496,0.0891496972180903
9,-0.0043690442107617855,1.1594228744506836,1.3432079553604126,2.6381311416625977,9.85850715637207,3.618684768676758,11.122204780578613,8.3179931640625,2.5848259925842285,0.07184117060387507
10,0.0023020971566438675,1.201204538345337,1.3471171855926514,2.6166388988494873,9.767095565795898,3.6013071537017822,11.066120147705078,8.176403045654297,2.5818777084350586,0.08955675232573412
