epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,Loss
0,-0.10000000149011612,0.345167338848114,1.7101954221725464,2.9684553146362305,10.530745506286621,4.263136863708496,12.39979362487793,9.5006742477417,0
1,-0.04726986214518547,0.48645180463790894,1.4778019189834595,2.5697507858276367,9.024375915527344,3.8917741775512695,10.719026565551758,9.340825080871582,2756952.949982643
2,-0.016843095421791077,0.5898500084877014,1.3251644372940063,2.434009313583374,8.885910987854004,3.7587103843688965,10.506156921386719,9.181767463684082,99.861287266016
3,0.005596030503511429,0.6389263868331909,1.260684847831726,2.350297689437866,8.887008666992188,3.705559492111206,10.371625900268555,9.025132179260254,0.7829983979463577
4,-0.005620862357318401,0.6590932011604309,1.2318896055221558,2.377194881439209,9.12613296508789,3.6530327796936035,10.203317642211914,8.8757963180542,0.42310679517686367
5,-0.005422487389296293,0.6746525168418884,1.2205475568771362,2.4051685333251953,9.216554641723633,3.633971691131592,10.438255310058594,8.725163459777832,0.19129593338584527
6,0.0089655676856637,0.7131524682044983,1.1970475912094116,2.3650033473968506,9.053655624389648,3.6173393726348877,10.494044303894043,8.569662094116211,0.1270607770420611
7,-0.00018789262685459107,0.7093079090118408,1.1974146366119385,2.306298017501831,8.818096160888672,3.6000702381134033,10.487215042114258,8.414839744567871,0.07479955424787477
8,0.012117225676774979,0.7123872637748718,1.1925468444824219,2.262805938720703,8.632648468017578,3.5828919410705566,10.480795860290527,8.262080192565918,0.07685769908130169
9,0.010164125822484493,0.7141302824020386,1.1930843591690063,2.2181313037872314,8.444911003112793,3.5663397312164307,10.452740669250488,8.11091423034668,0.08648997073760256
10,0.010816316120326519,0.7069485187530518,1.1908626556396484,2.195767879486084,8.317342758178711,3.5507004261016846,10.453680992126465,7.962669372558594,0.10323300736490637
