epoch,s_A,L_p,B_q,B_B,M_B,B_C,M_C,B_A,B_u,Loss
0,0.0,0.8680893778800964,3.993622303009033,8.488299369812012,53.66489028930664,8.819767951965332,54.54674530029297,9.982973098754883,7.482407569885254,0
1,-0.045236747711896896,1.0659925937652588,3.9319021701812744,8.109804153442383,51.07347869873047,8.598336219787598,52.67552185058594,9.618541717529297,5.499523639678955,204660888947.18826
2,-0.014104553498327732,1.1769599914550781,3.8407468795776367,8.061823844909668,50.876129150390625,8.591516494750977,52.631919860839844,9.54684066772461,5.204570293426514,0.5208745468027738
3,-0.007768112234771252,1.2388406991958618,3.8015658855438232,8.03093433380127,50.71418762207031,8.58842658996582,52.618125915527344,9.435649871826172,4.995182991027832,0.3402520460741861
4,-0.005502108950167894,1.2778338193893433,3.7630786895751953,8.005403518676758,50.54026794433594,8.58594799041748,52.60203552246094,9.302044868469238,4.844117164611816,0.2988785792674337
5,-0.0041057877242565155,1.2859277725219727,3.7424681186676025,7.985267639160156,50.37404251098633,8.583490371704102,52.58637619018555,9.152894973754883,4.7766594886779785,0.26933405350665657
6,-0.009959714487195015,1.3092577457427979,3.7194628715515137,7.9589715003967285,50.17180252075195,8.580738067626953,52.57612609863281,8.985620498657227,4.725428581237793,0.2610433796534733
7,-0.008039305917918682,1.3100972175598145,3.6876745223999023,7.942013263702393,50.08900833129883,8.578917503356934,52.54584503173828,8.814001083374023,4.724809169769287,0.238501496917131
8,-0.004691424313932657,1.2689979076385498,3.672501564025879,7.923869609832764,49.90960693359375,8.576135635375977,52.52344512939453,8.70016098022461,4.7181901931762695,0.22446322562743207
9,-0.0048910146579146385,1.2536832094192505,3.6614480018615723,7.900843143463135,49.732139587402344,8.572979927062988,52.52635955810547,8.618051528930664,4.708070278167725,0.22111658980043566
10,-0.006199105642735958,1.2353856563568115,3.6339449882507324,7.885425567626953,49.654842376708984,8.569659233093262,52.49634552001953,8.531023025512695,4.701979637145996,0.2101259959139386
11,-0.0057717058807611465,1.2809858322143555,3.5953521728515625,7.856726169586182,49.447181701660156,8.566035270690918,52.45634460449219,8.43695068359375,4.691370010375977,0.21145261322357217
12,-0.007841124199330807,1.306318759918213,3.5438835620880127,7.826201915740967,49.22621536254883,8.562883377075195,52.43346405029297,8.340137481689453,4.68186616897583,0.21379214373170113
13,-0.011036903597414494,1.28766930103302,3.4980173110961914,7.796929359436035,49.087425231933594,8.558127403259277,52.41384506225586,8.233981132507324,4.66905403137207,0.19762237400424723
14,-0.0030080988071858883,1.2528430223464966,3.486443042755127,7.761274814605713,48.8499870300293,8.554190635681152,52.38368606567383,8.121994972229004,4.649374485015869,0.1907998077115234
15,-0.002362965838983655,1.2588924169540405,3.4388933181762695,7.73446798324585,48.623863220214844,8.549903869628906,52.347869873046875,8.00557804107666,4.635555267333984,0.18279691990845057
16,-0.005005135666579008,1.227781057357788,3.4248857498168945,7.711103916168213,48.503997802734375,8.544251441955566,52.325782775878906,7.8854193687438965,4.612619876861572,0.17465574073852325
17,-0.00807186309248209,1.1884909868240356,3.412616729736328,7.680173873901367,48.2508659362793,8.53947925567627,52.28987121582031,7.756699085235596,4.588409900665283,0.16672533248760263
18,-0.00237356242723763,1.1469804048538208,3.4155004024505615,7.663056373596191,48.07171630859375,8.533685684204102,52.26176071166992,7.629274845123291,4.562455654144287,0.16273709074879178
19,-0.0034634952899068594,1.1354153156280518,3.397329092025757,7.632665157318115,47.93647003173828,8.528597831726074,52.22581481933594,7.487606525421143,4.539796829223633,0.1572430998238982
20,-0.003823451232165098,1.0817316770553589,3.3779256343841553,7.59981632232666,47.72496032714844,8.522769927978516,52.20899200439453,7.340641498565674,4.509215831756592,0.14557976009590284
21,-0.007466294337064028,1.0646991729736328,3.3501245975494385,7.579041004180908,47.56885528564453,8.516372680664062,52.16809844970703,7.188408374786377,4.486409664154053,0.14274792297154057
22,-0.00516937579959631,1.0532007217407227,3.3182871341705322,7.543357849121094,47.38710403442383,8.509515762329102,52.12220001220703,7.030142784118652,4.460152626037598,0.1405565008064922
23,-0.004275452811270952,1.0432835817337036,3.3475968837738037,7.515126705169678,47.15299987792969,8.501903533935547,52.11001205444336,6.867973327636719,4.417270183563232,0.1276211610862187
24,-0.0015903075691312551,1.0271236896514893,3.279536247253418,7.466960430145264,46.76898956298828,8.494943618774414,52.046119689941406,6.700429439544678,4.3866658210754395,0.12670228136133174
25,-0.007548118010163307,0.9534405469894409,3.273922920227051,7.4424357414245605,46.49891662597656,8.48565673828125,51.98890686035156,6.521276950836182,4.356627941131592,0.12035203546437682
26,-0.0004342089523561299,0.9478738903999329,3.2377161979675293,7.4175238609313965,46.38410949707031,8.477180480957031,51.92841339111328,6.35767936706543,4.337258815765381,0.11094426838871167
27,-0.003205775050446391,0.9326527714729309,3.2251527309417725,7.381254196166992,46.12352752685547,8.470206260681152,51.93852233886719,6.314267635345459,4.315708637237549,0.10840849080408106
28,-0.005237424746155739,0.8789194226264954,3.2230849266052246,7.3462653160095215,45.61668395996094,8.461908340454102,51.89113235473633,6.270066738128662,4.3088531494140625,0.09815767297179115
29,-0.003842319129034877,0.8148895502090454,3.1983261108398438,7.32127046585083,45.36720657348633,8.45250415802002,51.842933654785156,6.223996162414551,4.277749538421631,0.09737353996202654
30,-0.0008482277044095099,0.7969383001327515,3.1827008724212646,7.301299095153809,45.239097595214844,8.441587448120117,51.76861572265625,6.174005508422852,4.274458408355713,0.09271737334451505
