T,Train Accuracy,Test Accuracy
100,0.9932,0.73208
200,0.992,0.7848
300,0.98808,0.8118
400,0.98196,0.81936
500,0.98872,0.83444
600,0.98264,0.83356
700,0.98184,0.85116
800,0.98032,0.85176
900,0.9812,0.8462
1000,0.98608,0.8494
1100,0.98232,0.8484
1200,0.9752,0.8542
1300,0.9734,0.85784
1400,0.96896,0.84588
1500,0.96564,0.84936
