T,Train Accuracy,Test Accuracy
100,0.99192,0.73688
200,0.99424,0.7904
300,0.9896,0.81924
400,0.98272,0.81972
500,0.97284,0.8404
600,0.97384,0.84396
700,0.98376,0.84228
800,0.98384,0.8564
900,0.98712,0.8376
1000,0.97668,0.8504
1100,0.98596,0.85176
1200,0.9822,0.842
1300,0.99724,0.85072
1400,0.98576,0.85016
1500,0.99692,0.84848
