T,Train Accuracy,Test Accuracy
100,0.99352,0.7382
200,0.99528,0.7904
300,0.9904,0.81228
400,0.9892,0.8266
500,0.98868,0.84004
600,0.99272,0.84244
700,0.98996,0.84052
800,0.9808,0.8546
900,0.98936,0.85476
1000,0.98512,0.85556
1100,0.97488,0.85172
1200,0.99368,0.84648
1300,0.99328,0.84684
1400,0.98752,0.85432
1500,0.99112,0.84172
